"SciName","species","bioflor_id","LifeForm","LifeSpan","FlStart","FlEnd","FlDur","ReprType","Dicliny","Dichogamy","SelfComp","PollVec","PollVecGrp","BreedSys","FlowClass","Habitat","PollDep","AccName","GbifKey"
"Abies alba Mill.","Abies alba",0,"M","p",5,6,2,"s","mo",NA,"SI","wi","ab","X","W","T1.1.1.5","No","Abies alba Mill.","2685484"
"Abutilon theophrasti Medik.","Abutilon theophrasti",1,"T","a",8,10,3,"s","so","a1","SC","se","se","AO","Po","T8.3.1","No","Abutilon theophrasti Medik.","3152614"
"Acer campestre L.","Acer campestre",2,"M, N","p",5,6,2,"ssv","mo",NA,NA,"in","zo","AF","A","L5.2.3, T1.1.1.4, T1.1.2.1, T1.1.2.3, T1.1.2.4.1",NA,"Acer campestre L.","3189863"
"Acer monspessulanum L.","Acer monspessulanum",3,"M, N","p",4,5,2,"s",NA,NA,NA,"in","zo",NA,"A","T1.1.2.4.1",NA,"Acer monspessulanum L.","7262958"
"Acer negundo L.","Acer negundo",4,"M","p",4,4,1,"sv","do",NA,NA,"wi","ab","X","A","L5.2.3, T1.3, T10.1.1","No","Acer negundo L.","3189866"
"Acer opalus Mill.","Acer opalus",5,"M","p",3,4,2,"s",NA,NA,NA,"in","zo",NA,"A","T1.1.2.1, T1.1.2.3",NA,"Acer opalus Mill.","7100278"
"Acer platanoides L.","Acer platanoides",6,"M","p",4,5,2,"s","mo","g2, a2","SI","in","zo","X","A","T1.1.1, T1.1.2.1","Yes","Acer platanoides L.","3189846"
"Acer pseudoplatanus L.","Acer pseudoplatanus",7,"M","p",5,5,1,"s","am","a3",NA,"in","zo","AF","A","L5.2.3, T1.1.1, T1.1.2.1","Yes","Acer pseudoplatanus L.","3189870"
"Aceras anthropophorum (L.) W. T. Aiton","Orchis anthropophora",8,"G","p",5,6,2,"s","so",NA,"SC","se, in","se, zo","XF","B","T6.2.2.2.3",NA,"Orchis anthropophora All.","2849624"
"Achillea atrata L.","Achillea atrata",9,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B",NA,"Yes","Achillea atrata L.","3120203"
"Achillea clavennae L.","Achillea clavennae",10,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X","B","T3.4.2.1, T5.1.2.2.1","Yes","Achillea clavennae L.","3120117"
"Achillea collina Becker ex Rchb.","Achillea collina",11,"H","p",6,11,6,"sv","gm","a2","SI","in","zo","X","B","T6.2.2.2.3","Yes","Achillea collina Becker ex Rchb.","7925124"
"Achillea crithmifolia Waldst. & Kit.","Achillea crithmifolia",12,"H","p",5,10,6,"sv","gm","a2","SI","in","zo","X","B","T10.3.1.2, T8.2.2.6","Yes","Achillea crithmifolia Waldst. & Kit.","8059665"
"Achillea macrophylla L.","Achillea macrophylla",13,"H","p",7,9,3,"sv","gm","a2","SI","se, in","se, zo","X","B",NA,"Intermediate","Achillea macrophylla L.","3118536"
"Achillea millefolium L.","Achillea millefolium",14,"H","p",6,10,5,"sv","gm, gd","a2","SI","in","zo","X","B","T10.4, T6.2.1.4, T6.2.2.2.3, T7.1.2, T7.1.3, T7.2, T7.2.2, T7.3, T8.2.2, T8.3, T9.2, T9.5","Yes","Achillea millefolium L.","3120060"
"Achillea nobilis L.","Achillea nobilis",15,"H","p",6,10,5,"sv","gm","a2","SI","in","zo","X","B","T6.1.2.3, T7.5.2.1","Yes","Achillea nobilis L.","3120024"
"Achillea pannonica Scheele","Achillea pannonica",16,"H","p",6,8,3,"sv","gm","a2","SI","in","zo","X","B","T6.1.2.3, T6.2.2","Yes","Achillea pannonica Scheele","3120129"
"Achillea pratensis Saukel & R. Länger","Achillea pratensis",17,"H","p",5,11,7,"sv","gm","a2","SI","in","zo","X","B","T6.2, T7.1.2, T7.2, T7.3","Yes","Achillea pratensis J.Saukel & R.Länger","3120104"
"Achillea ptarmica L.","Achillea ptarmica",18,"H","p",7,9,3,"sv","gm","a2","SI","in","zo","X",NA,"L4.1.4, L4.4","Yes","Achillea ptarmica L.","3120333"
"Achillea roseoalba Ehrend.","Achillea roseo",19,"H","p",5,10,6,"sv","gm","a2","SI","in","zo","X","B","T7.1.2","Yes","Achillea roseo-alba Ehrend.","3120385"
