decade,spring1,spring1.sd,y_mean_temp,y_mean_temp.sd
1710,7.6,5.95035012975427,10.1833333333333,7.32962027211051
1720,5.53333333333333,6.01363530019983,8.155,6.93134648553686
1730,6.87,4.47507054807591,8.3525,6.09108678605831
1740,5.5475,5.53246768792631,8.30583333333333,6.95233829032227
1750,8.53888888888889,5.11380639768616,10.4409523809524,7.48826896960654
1760,8.33375,4.96899102790929,10.1516666666667,6.85371332431833
1770,7.43625,5.15948784991473,9.68291666666667,7.05794307820051
1780,5.48509090909091,6.14983922299794,7.96241590214067,7.69887908968168
1790,7.05065789473684,5.28891163844463,8.98940397350993,7.41728529208251
1800,6.15061111111111,6.10053080975498,8.49355555555556,7.4312017537715
1810,6.45038888888889,5.49974853299065,8.17016666666667,7.2078528970769
1820,6.22456730769231,5.82709793493072,8.33655448717949,7.51746938100167
1830,5.88101851851852,5.26688361805116,8.29611111111111,7.24066537815653
1840,6.27571428571429,5.83581794727481,8.42840846366145,7.33742953236323
1850,5.656591796875,5.13117426812462,8.57569854132901,7.19256043578728
1860,6.92561082662765,5.05519122485814,8.90053170731707,6.66948860289687
1870,5.99081224249559,4.54385171256831,8.49939161252215,6.94016225678256
1880,5.54444704381114,5.23217635940602,7.90664145341439,6.8330937464251
1890,5.71814169970695,4.97462349238133,7.90481377653184,6.84560886786276
1900,5.49822338721421,5.0804752560046,7.93413947163947,6.70508351437549
1910,6.25161614730878,4.96957149133059,8.24996324742025,6.38176192066947
1920,5.99422733738523,5.34876171672179,8.11819855471438,6.68133260023026
1930,5.91749931021797,4.94386534355039,8.42111056796309,6.6709283720232
1940,5.91294039182993,5.74575463255383,8.20285503685504,7.28751835665861
1950,5.60910527583715,5.45899821093072,8.19217885423012,6.71483911840961
1960,5.8296985162083,5.10973832861305,8.03273602264685,6.81809618556788
1970,5.80048526140156,4.63537899725277,8.23592016436748,6.40953902455173
1980,5.68158081296322,5.31161417888109,8.27115968911441,6.75223486196419
1990,6.83316573302364,4.83026609258088,8.84305540376442,6.59910211853816
2000,7.23095465393795,5.00372304102165,9.34691384774594,6.62896403836472
2010,6.95900010054293,5.10896169381405,9.46026220751516,6.71412570594853
2020,8.13685992816829,3.34665374131396,10.3238049778384,5.84251480779176
