state,year,y_mean_temp,spring1
Baden-Wuerttemberg,1792,10.2166666666667,7.9
Baden-Wuerttemberg,1793,10.5166666666667,7.975
Baden-Wuerttemberg,1794,11.25,11.125
Baden-Wuerttemberg,1795,11.075,9.6
Baden-Wuerttemberg,1796,10.4333333333333,7.65
Baden-Wuerttemberg,1797,11.5333333333333,9.025
Baden-Wuerttemberg,1798,10.625,9.325
Baden-Wuerttemberg,1799,8.75833333333333,7.725
Baden-Wuerttemberg,1800,10.75,9.175
Baden-Wuerttemberg,1801,11.8083333333333,9.375
Baden-Wuerttemberg,1802,10.75,8.925
Baden-Wuerttemberg,1803,9.58333333333333,6.875
Baden-Wuerttemberg,1804,10.2583333333333,7.575
Baden-Wuerttemberg,1805,8.425,6.6
Baden-Wuerttemberg,1806,11.25,9.125
Baden-Wuerttemberg,1807,10.5583333333333,7.775
Baden-Wuerttemberg,1808,9.18333333333333,6.8
Baden-Wuerttemberg,1809,10.2333333333333,8.8
Baden-Wuerttemberg,1810,9.88333333333333,7.575
Baden-Wuerttemberg,1811,10.7083333333333,9.65
Baden-Wuerttemberg,1812,8.50833333333333,7.575
Baden-Wuerttemberg,1813,8.69166666666667,8.4
Baden-Wuerttemberg,1814,8.69166666666667,5.675
Baden-Wuerttemberg,1815,9.30833333333333,9.425
Baden-Wuerttemberg,1816,8.1,6.125
Baden-Wuerttemberg,1817,9.425,6.625
Baden-Wuerttemberg,1818,9.99166666666667,8.325
Baden-Wuerttemberg,1819,10.6,9.1
Baden-Wuerttemberg,1820,8.59166666666667,7.55
Baden-Wuerttemberg,1821,9.75833333333333,6.85
Baden-Wuerttemberg,1822,10.7416666666667,9.65
Baden-Wuerttemberg,1823,9.225,8.325
Baden-Wuerttemberg,1824,10.2833333333333,7.1
Baden-Wuerttemberg,1825,10.1833333333333,7.625
Baden-Wuerttemberg,1826,10.0583333333333,8.35
Baden-Wuerttemberg,1827,9.73333333333333,7.35
Baden-Wuerttemberg,1828,10.1666666666667,8.075
Baden-Wuerttemberg,1829,7.625,6.575
Baden-Wuerttemberg,1830,8.86666666666667,8.025
Baden-Wuerttemberg,1831,10.2333333333333,8.95
Baden-Wuerttemberg,1832,9.025,7
Baden-Wuerttemberg,1833,9.51666666666667,8.775
Baden-Wuerttemberg,1834,10.7083333333333,7.6
Baden-Wuerttemberg,1835,9.18333333333333,7.55
Baden-Wuerttemberg,1836,9.71666666666667,7.3
Baden-Wuerttemberg,1837,8.83333333333333,5.425
Baden-Wuerttemberg,1838,8.53333333333333,6.3
Baden-Wuerttemberg,1839,9.75833333333333,6.15
Baden-Wuerttemberg,1840,8.69166666666667,7.05
Baden-Wuerttemberg,1841,10.4083333333333,8.875
Baden-Wuerttemberg,1842,9.53333333333333,8
Baden-Wuerttemberg,1843,9.775,8.05
Baden-Wuerttemberg,1844,9.15833333333333,7.525
Baden-Wuerttemberg,1845,8.54166666666667,3.425
Baden-Wuerttemberg,1846,10.9166666666667,9.05
Baden-Wuerttemberg,1847,9.05833333333333,6.925
Baden-Wuerttemberg,1848,9.84166666666667,9.175
Baden-Wuerttemberg,1849,9.55,7.875
Baden-Wuerttemberg,1850,9.00833333333333,7.475
Baden-Wuerttemberg,1851,8.07083333333333,5.925
Baden-Wuerttemberg,1852,9.575,5.76875
Baden-Wuerttemberg,1853,7.63166666666667,4.12
Baden-Wuerttemberg,1854,8.8,6.5
Baden-Wuerttemberg,1855,8.15333333333333,5.68
Baden-Wuerttemberg,1856,8.99833333333333,6.75
Baden-Wuerttemberg,1857,9.55166666666667,6.4
Baden-Wuerttemberg,1858,8.64333333333333,5.78
Baden-Wuerttemberg,1859,10.28,8.37
Baden-Wuerttemberg,1860,8.31,5.74
Baden-Wuerttemberg,1861,8.93166666666667,6.995
Baden-Wuerttemberg,1862,10.2816666666667,9.32
Baden-Wuerttemberg,1863,10.2216666666667,8.045
Baden-Wuerttemberg,1864,8.13166666666667,6.97
Baden-Wuerttemberg,1865,9.935,7.385
Baden-Wuerttemberg,1866,9.46833333333333,7.275
Baden-Wuerttemberg,1867,8.58166666666667,7.62
Baden-Wuerttemberg,1868,8.95694444444444,8.09
Baden-Wuerttemberg,1869,8.91111111111111,8.125
Baden-Wuerttemberg,1870,7.95833333333333,5.65
Baden-Wuerttemberg,1871,7.68928571428571,7.05
Baden-Wuerttemberg,1872,10.0197916666667,7.8125
Baden-Wuerttemberg,1873,9.375,6.396875
Baden-Wuerttemberg,1874,8.61625,6.159375
Baden-Wuerttemberg,1875,8.61354166666667,5.679375
Baden-Wuerttemberg,1876,9.26145833333333,6.886875
Baden-Wuerttemberg,1877,9.329875,6.5771875
Baden-Wuerttemberg,1878,8.97510416666667,7.5346875
Baden-Wuerttemberg,1879,7.48229166666667,6.0434375
Baden-Wuerttemberg,1880,9.36427083333333,7.539375
Baden-Wuerttemberg,1881,8.31105151515152,6.65666666666667
Baden-Wuerttemberg,1882,8.60669871794872,7.18721153846154
Baden-Wuerttemberg,1883,8.37835256410256,6.00663461538462
Baden-Wuerttemberg,1884,9.05622863247863,7.32384615384615
Baden-Wuerttemberg,1885,8.3135,6.8628
Baden-Wuerttemberg,1886,8.65713333333333,5.7401
Baden-Wuerttemberg,1887,7.28396825396825,4.70052083333333
Baden-Wuerttemberg,1888,7.54563333333333,5.4175
Baden-Wuerttemberg,1889,7.70943333333333,5.4158
Baden-Wuerttemberg,1890,7.58396666666667,5.7853
Baden-Wuerttemberg,1891,7.74163333333333,5.3488
Baden-Wuerttemberg,1892,8.47443376068376,6.37769230769231
Baden-Wuerttemberg,1893,8.71679487179487,8.14346153846154
Baden-Wuerttemberg,1894,8.51077160493827,7.24944444444444
Baden-Wuerttemberg,1895,7.91784013605442,3.95861111111111
Baden-Wuerttemberg,1896,7.89444264069264,5.82410714285714
Baden-Wuerttemberg,1897,8.67818452380952,7.33160714285714
Baden-Wuerttemberg,1898,8.97037698412698,6.19858333333333
Baden-Wuerttemberg,1899,8.6792816091954,6.44948275862069
Baden-Wuerttemberg,1900,9.02424329501916,5.59448275862069
Baden-Wuerttemberg,1901,7.94347222222222,5.12975
Baden-Wuerttemberg,1902,7.35894444444444,5.70112068965517
Baden-Wuerttemberg,1903,8.71540491118077,6.92206896551724
Baden-Wuerttemberg,1904,8.74919540229885,7.2357183908046
Baden-Wuerttemberg,1905,8.40068965517241,6.64931034482759
Baden-Wuerttemberg,1906,8.54895833333333,6.13741071428571
Baden-Wuerttemberg,1907,8.50879571577847,5.45098214285714
Baden-Wuerttemberg,1908,7.78043103448276,6.08120689655172
Baden-Wuerttemberg,1909,7.80941222570533,5.46956896551724
Baden-Wuerttemberg,1910,8.6608024691358,6.68861111111111
Baden-Wuerttemberg,1911,9.3178869047619,6.51803571428571
Baden-Wuerttemberg,1912,8.32092261904762,7.85544642857143
Baden-Wuerttemberg,1913,8.83035714285714,7.15392857142857
Baden-Wuerttemberg,1914,8.54776785714286,7.4825
Baden-Wuerttemberg,1915,8.60005952380952,6.55491071428572
Baden-Wuerttemberg,1916,8.96597363945578,7.31928571428571
Baden-Wuerttemberg,1917,7.92848765432099,4.985
Baden-Wuerttemberg,1918,8.76720238095238,7.48675925925926
Baden-Wuerttemberg,1919,7.90663531870428,5.39025862068966
Baden-Wuerttemberg,1920,8.95094827586207,8.18379310344828
Baden-Wuerttemberg,1921,9.17793103448276,6.93913793103448
Baden-Wuerttemberg,1922,7.69060344827586,6.13301724137931
Baden-Wuerttemberg,1923,8.70110119047619,7.11294642857143
Baden-Wuerttemberg,1924,7.95916666666667,5.88288461538462
Baden-Wuerttemberg,1925,8.55564814814815,6.80981481481482
Baden-Wuerttemberg,1926,9.18627976190476,7.978125
Baden-Wuerttemberg,1927,8.36039915966387,6.719453125
Baden-Wuerttemberg,1928,8.91871212121212,6.352578125
Baden-Wuerttemberg,1929,7.71007142857143,3.40977941176471
Baden-Wuerttemberg,1930,8.92954954954955,6.32903153153153
Baden-Wuerttemberg,1931,7.48975609756098,5.13707317073171
Baden-Wuerttemberg,1932,8.16164634146342,4.21030487804878
Baden-Wuerttemberg,1933,7.64890243902439,6.14262195121951
Baden-Wuerttemberg,1934,9.37439024390244,7.0631875
Baden-Wuerttemberg,1935,8.3919512195122,5.70164634146341
Baden-Wuerttemberg,1936,8.43187984496124,6.58251984126984
Baden-Wuerttemberg,1937,8.77000322372663,7.49469202898551
Baden-Wuerttemberg,1938,8.31566616008105,5.67778985507246
Baden-Wuerttemberg,1939,8.21008799171843,5.34369565217391
Baden-Wuerttemberg,1940,6.9804896526238,6.09308943089431
Baden-Wuerttemberg,1941,7.30229166666667,5.04953703703704
Baden-Wuerttemberg,1942,7.54732034632035,4.95478571428571
Baden-Wuerttemberg,1943,8.984,7.74742857142857
Baden-Wuerttemberg,1944,8.38973423423423,4.99778571428571
Baden-Wuerttemberg,1945,7.0708269671505,7.47763888888889
Baden-Wuerttemberg,1946,7.9606746031746,8.05469696969697
Baden-Wuerttemberg,1947,9.32833531392355,6.72338541666667
Baden-Wuerttemberg,1948,9.07126063264221,8.0774269005848
Baden-Wuerttemberg,1949,8.90072610722611,6.39855555555556
Baden-Wuerttemberg,1950,8.52213383838384,7.38043715846995
Baden-Wuerttemberg,1951,8.86148393876655,6.31371323529412
Baden-Wuerttemberg,1952,8.43862087542088,6.78024305555556
Baden-Wuerttemberg,1953,8.68723980309423,7.03081168831169
Baden-Wuerttemberg,1954,7.61116666666667,5.14730769230769
Baden-Wuerttemberg,1955,7.82088675213675,5.0125974025974
Baden-Wuerttemberg,1956,6.97472573839662,3.1945253164557
Baden-Wuerttemberg,1957,8.58208518107908,7.38836419753086
Baden-Wuerttemberg,1958,8.52003875968992,5.67735294117647
Baden-Wuerttemberg,1959,9.16221568627451,7.39667647058824
Baden-Wuerttemberg,1960,8.65622549019608,7.10935294117647
Baden-Wuerttemberg,1961,9.33122427983539,8.14364197530864
Baden-Wuerttemberg,1962,7.49422916666667,4.889875
Baden-Wuerttemberg,1963,7.23027083333333,4.65715625
Baden-Wuerttemberg,1964,8.62462025316456,6.75085443037975
Baden-Wuerttemberg,1965,7.75805208333333,4.681875
Baden-Wuerttemberg,1966,8.87420833333333,8.015625
Baden-Wuerttemberg,1967,8.85471875,6.894
Baden-Wuerttemberg,1968,8.26044196428572,6.6998125
Baden-Wuerttemberg,1969,8.07672222222222,5.69128125
Baden-Wuerttemberg,1970,8.15979268292683,4.84387195121951
Baden-Wuerttemberg,1971,8.5621281512605,6.631
Baden-Wuerttemberg,1972,7.77677713178295,6.87867063492064
Baden-Wuerttemberg,1973,8.13294379844961,5.56594117647059
Baden-Wuerttemberg,1974,8.98108823529412,7.4108630952381
Baden-Wuerttemberg,1975,8.82649224806202,6.39553571428571
Baden-Wuerttemberg,1976,8.87541924931129,6.41184659090909
Baden-Wuerttemberg,1977,8.93053282828283,7.37945402298851
Baden-Wuerttemberg,1978,7.88762200658268,5.88807471264368
Baden-Wuerttemberg,1979,8.53502469135803,6.30665730337079
Baden-Wuerttemberg,1980,7.92091007905138,6.25719444444444
Baden-Wuerttemberg,1981,8.44423861852433,6.96441011235955
Baden-Wuerttemberg,1982,8.96572010869565,5.92347985347985
Baden-Wuerttemberg,1983,9.07182915173238,5.84285326086957
Baden-Wuerttemberg,1984,8.04725261151892,4.71085164835165
Baden-Wuerttemberg,1985,7.64443833943834,5.60042613636364
Baden-Wuerttemberg,1986,8.08431728395062,4.72449233716475
Baden-Wuerttemberg,1987,7.90619082892416,5.12988372093023
Baden-Wuerttemberg,1988,9.29978750640041,7.07027777777778
Baden-Wuerttemberg,1989,9.4127852460778,8.02144021739131
Baden-Wuerttemberg,1990,9.41818474881362,8.52450354609929
Baden-Wuerttemberg,1991,8.5490827154524,5.48106382978723
Baden-Wuerttemberg,1992,9.40871342942772,7.37702777777778
Baden-Wuerttemberg,1993,8.83486495388669,7.07132783882784
Baden-Wuerttemberg,1994,10.1970730754752,7.4621978021978
Baden-Wuerttemberg,1995,9.0531009557945,7.47629032258065
Baden-Wuerttemberg,1996,7.83352580752581,5.4060989010989
Baden-Wuerttemberg,1997,9.20625468164794,7.88924157303371
Baden-Wuerttemberg,1998,9.43482010582011,7.98085227272727
Baden-Wuerttemberg,1999,9.42661300505051,7.22934659090909
Baden-Wuerttemberg,2000,10.1552597889002,8.59923449612403
Baden-Wuerttemberg,2001,9.49672862554113,7.94336206896552
Baden-Wuerttemberg,2002,9.52670678044816,8.23746987951807
Baden-Wuerttemberg,2003,9.69959307359307,6.92063852813853
Baden-Wuerttemberg,2004,9.1881917989418,6.83827586206897
Baden-Wuerttemberg,2005,8.83105046496713,6.28135245901639
Baden-Wuerttemberg,2006,9.6495193460024,6.06805084745763
Baden-Wuerttemberg,2007,9.91218951418951,9.48027322404372
Baden-Wuerttemberg,2008,9.33198400673401,7.69157258064516
Baden-Wuerttemberg,2009,9.2533041297327,7.72340163934426
Baden-Wuerttemberg,2010,8.24216370049703,6.18440476190476
Baden-Wuerttemberg,2011,9.9576915922619,8.68688802083333
Baden-Wuerttemberg,2012,9.16648672551407,6.38095052083333
Baden-Wuerttemberg,2013,8.63458553791887,4.93213709677419
Baden-Wuerttemberg,2014,10.3490975228475,8.55346774193548
Baden-Wuerttemberg,2015,10.0842267759563,6.81536885245902
Baden-Wuerttemberg,2016,9.53415322580645,7.105
Baden-Wuerttemberg,2017,9.59899462365591,8.2842876344086
Baden-Wuerttemberg,2018,10.4869047619048,7.44435483870968
Baden-Wuerttemberg,2019,10.020938172043,7.4591935483871
Baden-Wuerttemberg,2020,10.4368852459016,8.69434426229508
Bayern,1781,7.18333333333333,5.4925
Bayern,1782,5.06916666666667,1.7
Bayern,1783,6.42416666666667,4.01
Bayern,1784,4.61333333333333,2.205
Bayern,1785,4.24416666666667,-1.04
Bayern,1786,4.5775,2.5875
Bayern,1787,6.325,3.175
Bayern,1788,5.555,4.7725
Bayern,1789,5.62583333333333,3.5375
Bayern,1790,6.2775,3.975
Bayern,1791,6.29166666666667,4.1175
Bayern,1792,6.15666666666667,4.0325
Bayern,1793,6.78333333333333,3.7
Bayern,1794,7.0375,6.8375
Bayern,1795,6.50583333333333,4.68
Bayern,1796,6.06583333333333,2.5125
Bayern,1797,6.98833333333333,4.885
Bayern,1798,5.77666666666667,3.96
Bayern,1799,5.19166666666667,3.25
Bayern,1800,6.62083333333333,4.7775
Bayern,1801,7.84416666666667,5.97625
Bayern,1802,7.69083333333333,5.16875
Bayern,1803,6.495,4.005
Bayern,1804,7.13333333333333,4.075
Bayern,1805,5.65083333333333,3.39
Bayern,1806,7.99875,5.43875
Bayern,1807,7.5025,4.54875
Bayern,1808,5.72875,3.07125
Bayern,1809,7.30041666666667,5.75125
Bayern,1810,7.58,5.3325
Bayern,1811,8.86666666666667,7.575
Bayern,1812,7.03333333333333,6.1
Bayern,1813,6.23583333333333,5.59
Bayern,1814,6.12333333333333,3.02
Bayern,1815,6.53416666666667,6.72625
Bayern,1816,5.55041666666667,3.435
Bayern,1817,6.59041666666667,3.40375
Bayern,1818,6.98125,5.07375
Bayern,1819,7.2125,5.39
Bayern,1820,6.045,4.90125
Bayern,1821,6.9025,4.01
Bayern,1822,8.15416666666667,7.1175
Bayern,1823,6.58291666666667,4.8325
Bayern,1824,7.11958333333333,3.96375
Bayern,1825,7.42125,5.2725
Bayern,1826,6.89,4.3325
Bayern,1827,6.86583333333333,4.5625
Bayern,1828,7.32708333333333,4.99125
Bayern,1829,5.06541666666667,3.64125
Bayern,1830,6.97916666666667,5.34
Bayern,1831,6.9525,5.5525
Bayern,1832,6.38458333333333,4.33875
Bayern,1833,6.68166666666667,5.59125
Bayern,1834,8.35416666666667,5.02
Bayern,1835,6.26208333333333,4.18375
Bayern,1836,6.64958333333333,4.235
Bayern,1837,5.61875,2.15875
Bayern,1838,5.47666666666667,2.90875
Bayern,1839,6.8125,2.6725
Bayern,1840,5.59291666666667,3.07
Bayern,1841,7.20541666666667,6.025
Bayern,1842,6.11083333333333,3.96625
Bayern,1843,6.55416666666667,4.45125
Bayern,1844,5.89375,3.70625
Bayern,1845,5.91583333333333,0.79875
Bayern,1846,7.97666666666667,6.15875
Bayern,1847,6.00708333333333,3.4975
Bayern,1848,6.92791666666667,6.0075
Bayern,1849,6.39458333333333,4.22
Bayern,1850,5.91916666666667,4.14625
Bayern,1851,6.15944444444444,3.77916666666667
Bayern,1852,7.78,3.7375
Bayern,1853,6.00305555555556,2.08583333333333
Bayern,1854,6.57222222222222,4.1125
Bayern,1855,5.98361111111111,3.255
Bayern,1856,6.995,5.12916666666667
Bayern,1857,7.23527777777778,4.08666666666667
Bayern,1858,6.05972222222222,2.80833333333333
Bayern,1859,7.72611111111111,5.68583333333333
Bayern,1860,5.95694444444444,3.0425
Bayern,1861,6.99222222222222,4.925
Bayern,1862,7.7625,6.7675
Bayern,1863,7.81527777777778,5.4925
Bayern,1864,5.25861111111111,3.6675
Bayern,1865,7.15888888888889,4.13
Bayern,1866,7.73611111111111,5.24666666666667
Bayern,1867,6.97277777777778,5.81583333333333
Bayern,1868,8.21777777777778,6.4525
Bayern,1869,7.16388888888889,6.5975
Bayern,1870,5.89027777777778,3.34583333333333
Bayern,1871,5.43194444444444,4.4675
Bayern,1872,7.95111111111111,5.7475
Bayern,1873,7.45944444444445,4.16666666666667
Bayern,1874,6.81361111111111,4.0075
Bayern,1875,6.4325,3.195
Bayern,1876,7.20861111111111,4.54
Bayern,1877,7.16277777777778,4.03916666666667
Bayern,1878,6.84361111111111,5.2675
Bayern,1879,6.16925925925926,4.5975
Bayern,1880,7.86657407407407,5.575
Bayern,1881,7.29527777777778,5.308
Bayern,1882,7.88291919191919,6.22166666666667
Bayern,1883,7.5440625,4.74375
Bayern,1884,8.22104166666667,6.4475
Bayern,1885,7.6565625,6.18
Bayern,1886,7.80348039215686,4.865
Bayern,1887,6.45303921568628,4.025
Bayern,1888,6.69593137254902,4.59073529411765
Bayern,1889,6.84226851851852,4.55958333333333
Bayern,1890,7.06981481481482,5.15166666666667
Bayern,1891,7.02740196078431,4.72058823529412
Bayern,1892,7.4903431372549,5.23367647058824
